ensembl_gene_id	gene_name	gene_biotype
ENSMUSG00000038968	Klk1b16	protein_coding
ENSMUSG00000081237	Gm11385	pseudogene
ENSMUSG00000048701	Ccdc6	protein_coding
ENSMUSG00000022272	Myo10	protein_coding
ENSMUSG00000081903	Gm11387	pseudogene
ENSMUSG00000024770	Lipn	protein_coding
ENSMUSG00000004788	Eif2b2	protein_coding
ENSMUSG00000075119	Olfr1197	protein_coding
ENSMUSG00000062200	Vmn2r7	protein_coding
ENSMUSG00000069972	Gm10159	protein_coding
ENSMUSG00000081288	Gm11386	pseudogene
ENSMUSG00000063713	Klk1b24	protein_coding
ENSMUSG00000075117	Olfr1198	protein_coding
ENSMUSG00000082722	Gm11393	pseudogene
ENSMUSG00000074385	Gm10684	protein_coding
ENSMUSG00000074895	Eif4e1b	protein_coding
ENSMUSG00000004748	Mtfp1	protein_coding
ENSMUSG00000089892	Olfr1199	protein_coding
ENSMUSG00000083042	Gm11388	pseudogene
ENSMUSG00000070304	Scn2b	protein_coding
ENSMUSG00000082986	Gm11389	pseudogene
ENSMUSG00000075115	Olfr1200	protein_coding
ENSMUSG00000027849	Syt6	protein_coding
ENSMUSG00000032384	Csnk1g1	protein_coding
ENSMUSG00000082808	Gm11391	pseudogene
ENSMUSG00000083638	Gm11392	pseudogene
ENSMUSG00000066515	Klk1b3	protein_coding
ENSMUSG00000059023	Olfr1201	protein_coding
ENSMUSG00000079698	Vmn2r93	protein_coding
ENSMUSG00000064084	Olfr1202	protein_coding
ENSMUSG00000082659	Gm11394	pseudogene
ENSMUSG00000027827	Kcnab1	protein_coding
ENSMUSG00000057447	Olfr1205	protein_coding
ENSMUSG00000056078	Lipm	protein_coding
ENSMUSG00000082805	Gm11395	pseudogene
ENSMUSG00000066513	Klk1b4	protein_coding
ENSMUSG00000061798	Olfr1204	protein_coding
ENSMUSG00000046480	Scn4b	protein_coding
ENSMUSG00000080317	Vmn2r-ps94	pseudogene
ENSMUSG00000025945	Crygf	protein_coding
ENSMUSG00000062757	Olfr1206	protein_coding
ENSMUSG00000003585	Sec14l2	protein_coding
ENSMUSG00000024774	Ankrd22	protein_coding
ENSMUSG00000089642	Gm16566	pseudogene
ENSMUSG00000066512	Klk1b5	protein_coding
ENSMUSG00000075114	Olfr1208	protein_coding
ENSMUSG00000085457	1110046J04Rik	lincRNA
ENSMUSG00000021245	Mlh3	protein_coding
ENSMUSG00000090628	Gm17083	pseudogene
ENSMUSG00000075113	Olfr1209	protein_coding
ENSMUSG00000091462	Gm17084	pseudogene
ENSMUSG00000075112	Olfr1211	protein_coding
ENSMUSG00000062073	Gm10109	protein_coding
ENSMUSG00000001632	Brpf1	protein_coding
ENSMUSG00000091631	Vmn2r95	protein_coding
ENSMUSG00000048226	Olfr1212	protein_coding
ENSMUSG00000063903	Klk1	protein_coding
ENSMUSG00000020894	Vamp2	protein_coding
ENSMUSG00000015222	Mtap2	protein_coding
ENSMUSG00000086786	Gm15908	lincRNA
ENSMUSG00000089751	Olfr1213	protein_coding
ENSMUSG00000090492	Gm17176	pseudogene
ENSMUSG00000091679	Vmn2r96	protein_coding
ENSMUSG00000085962	Gm16984	lincRNA
ENSMUSG00000024776	Stambpl1	protein_coding
ENSMUSG00000038782	1700028J19Rik	protein_coding
ENSMUSG00000003581	Rnf215	protein_coding
ENSMUSG00000075110	Olfr1214	protein_coding
ENSMUSG00000089953	Gm757	protein_coding
ENSMUSG00000090475	Gm6245	pseudogene
ENSMUSG00000045411	2410002F23Rik	protein_coding
ENSMUSG00000086693	A730081D07Rik	lincRNA
ENSMUSG00000075108	Olfr1215	protein_coding
ENSMUSG00000001786	Fbxo7	protein_coding
ENSMUSG00000085759	1700061E18Rik	antisense
ENSMUSG00000036731	2310002J15Rik	protein_coding
ENSMUSG00000089710	Gm15810	antisense
ENSMUSG00000075107	Olfr1216	protein_coding
ENSMUSG00000046182	Gsg1l	protein_coding
ENSMUSG00000091115	BC027582	protein_coding
ENSMUSG00000075106	Olfr1217	protein_coding
ENSMUSG00000027848	Olfml3	protein_coding
ENSMUSG00000031197	Vbp1	protein_coding
ENSMUSG00000085276	Gm15812	pseudogene
ENSMUSG00000075105	Olfr1218	protein_coding
ENSMUSG00000031594	Fgl1	protein_coding
ENSMUSG00000044628	Rnf208	protein_coding
ENSMUSG00000000131	Xpo6	protein_coding
ENSMUSG00000075104	Olfr1219	protein_coding
ENSMUSG00000008822	Acyp1	protein_coding
ENSMUSG00000078620	Gm10964	protein_coding
ENSMUSG00000075103	Olfr1220	protein_coding
ENSMUSG00000069020	Urm1	protein_coding
ENSMUSG00000008730	Hipk1	protein_coding
ENSMUSG00000075102	Olfr1221	protein_coding
ENSMUSG00000027828	Ssr3	protein_coding
ENSMUSG00000039428	Tmem135	protein_coding
ENSMUSG00000036196	Slc26a8	protein_coding
ENSMUSG00000051427	Ccdc157	protein_coding
ENSMUSG00000075101	Olfr1222	protein_coding
ENSMUSG00000019933	2310015B20Rik	protein_coding
ENSMUSG00000075100	Olfr1223	protein_coding
ENSMUSG00000035783	Acta2	protein_coding
ENSMUSG00000037762	Slc16a9	protein_coding
ENSMUSG00000075099	Olfr1224-ps1	protein_coding
ENSMUSG00000045064	Fam164c	protein_coding
ENSMUSG00000075098	Olfr1225	protein_coding
ENSMUSG00000031592	Pcm1	protein_coding
ENSMUSG00000091491	Vmn2r97	protein_coding
ENSMUSG00000075097	Olfr1226	protein_coding
ENSMUSG00000024778	Fas	protein_coding
ENSMUSG00000031202	Rab39b	protein_coding
ENSMUSG00000063522	2010109I03Rik	protein_coding
ENSMUSG00000034290	Nek9	protein_coding
ENSMUSG00000075096	Olfr1228	protein_coding
ENSMUSG00000012777	Acpt	protein_coding
ENSMUSG00000075095	Olfr1229	protein_coding
ENSMUSG00000074580	4931440P22Rik	protein_coding
ENSMUSG00000022587	Ly6e	protein_coding
ENSMUSG00000032091	Tmprss4	protein_coding
ENSMUSG00000016382	Pls3	protein_coding
ENSMUSG00000050821	Fam131a	protein_coding
ENSMUSG00000020893	Per1	protein_coding
ENSMUSG00000004473	Clec11a	protein_coding
ENSMUSG00000015474	Ppt2	protein_coding
ENSMUSG00000075094	Olfr1230	protein_coding
ENSMUSG00000034640	Tiparp	protein_coding
ENSMUSG00000030271	Ogg1	protein_coding
ENSMUSG00000050370	Ch25h	protein_coding
ENSMUSG00000006471	Ndor1	protein_coding
ENSMUSG00000024781	Lipa	protein_coding
ENSMUSG00000075093	Olfr1231	protein_coding
ENSMUSG00000038738	Shank1	protein_coding
ENSMUSG00000075092	Olfr1232	protein_coding
ENSMUSG00000075091	Olfr1233	protein_coding
ENSMUSG00000002129	Sf3a1	protein_coding
ENSMUSG00000075090	Olfr1234	protein_coding
ENSMUSG00000022586	Ly6i	protein_coding
ENSMUSG00000074754	Gm561	protein_coding
ENSMUSG00000074579	Lekr1	protein_coding
ENSMUSG00000022843	Clcn2	protein_coding
ENSMUSG00000075089	Olfr1238	protein_coding
ENSMUSG00000045932	Ifit2	protein_coding
ENSMUSG00000090851	Vmn2r98	protein_coding
ENSMUSG00000030272	Camk1	protein_coding
ENSMUSG00000075088	Olfr1239	protein_coding
ENSMUSG00000075602	Ly6a	protein_coding
ENSMUSG00000027430	Dtd1	protein_coding
ENSMUSG00000025371	Chmp6	protein_coding
ENSMUSG00000079018	Ly6c1	protein_coding
ENSMUSG00000049396	Gemin4	protein_coding
ENSMUSG00000025875	Tspan17	protein_coding
ENSMUSG00000031591	Asah1	protein_coding
ENSMUSG00000022584	Ly6c2	protein_coding
ENSMUSG00000074896	Ifit3	protein_coding
ENSMUSG00000022582	Ly6g	protein_coding
ENSMUSG00000047728	BC025446	protein_coding
ENSMUSG00000021248	Tmed10	protein_coding
ENSMUSG00000079339	Gm14446	protein_coding
ENSMUSG00000068348	Gm10238	protein_coding
ENSMUSG00000090304	Vmn2r99	protein_coding
ENSMUSG00000022583	Ly6f	protein_coding
ENSMUSG00000027829	Ccnl1	protein_coding
ENSMUSG00000053168	9030619P08Rik	protein_coding
ENSMUSG00000062488	I830012O16Rik	protein_coding
ENSMUSG00000021250	Fos	protein_coding
ENSMUSG00000027431	1700010M22Rik	protein_coding
ENSMUSG00000093626	RP23-138I21.1	protein_coding
ENSMUSG00000067297	2010002M12Rik	protein_coding
ENSMUSG00000091859	Vmn2r100	protein_coding
ENSMUSG00000022577	Ly6h	protein_coding
ENSMUSG00000022270	Fam134b	protein_coding
ENSMUSG00000034459	Ifit1	protein_coding
ENSMUSG00000063873	Slc24a3	protein_coding
ENSMUSG00000075087	Olfr1240	protein_coding
ENSMUSG00000038057	Dbil5	protein_coding
ENSMUSG00000048930	Tada3	protein_coding
ENSMUSG00000075086	Olfr1241	protein_coding
ENSMUSG00000009378	Slc16a12	protein_coding
ENSMUSG00000034271	Jdp2	protein_coding
ENSMUSG00000075085	Olfr1242	protein_coding
ENSMUSG00000091996	BC049352	protein_coding
ENSMUSG00000008028	1700008O03Rik	protein_coding
ENSMUSG00000090135	Gm15809	sense_intronic
ENSMUSG00000034412	Tbc1d10a	protein_coding
ENSMUSG00000087202	Gm15813	antisense
ENSMUSG00000069495	Epc2	protein_coding
ENSMUSG00000034266	Batf	protein_coding
ENSMUSG00000075084	Olfr1243	protein_coding
ENSMUSG00000089815	Gm5083	lincRNA
ENSMUSG00000090680	Vmn2r101	protein_coding
ENSMUSG00000033610	Pank1	protein_coding
ENSMUSG00000075083	Olfr1245	protein_coding
ENSMUSG00000078915	Hsp25-ps1	pseudogene
ENSMUSG00000075082	Olfr1246	protein_coding
ENSMUSG00000034258	Mfsd7c	protein_coding
ENSMUSG00000051606	2010001K21Rik	pseudogene
ENSMUSG00000086889	Gm8619	antisense
ENSMUSG00000052253	Zfp622	protein_coding
ENSMUSG00000090016	Gm16578	antisense
ENSMUSG00000075081	Olfr1247	protein_coding
ENSMUSG00000027845	Dclre1b	protein_coding
ENSMUSG00000030731	Syt3	protein_coding
ENSMUSG00000086137	Gm16248	lincRNA
ENSMUSG00000038046	Rnmtl1	protein_coding
ENSMUSG00000049791	Fzd4	protein_coding
ENSMUSG00000086567	Gm16247	pseudogene
ENSMUSG00000084949	Gm16249	antisense
ENSMUSG00000071738	Gm4937	protein_coding
ENSMUSG00000086097	Gm16250	pseudogene
ENSMUSG00000022269	March11	protein_coding
ENSMUSG00000085896	5330429C05Rik	lincRNA
ENSMUSG00000075080	Olfr1248	protein_coding
ENSMUSG00000039405	Prss23	protein_coding
ENSMUSG00000087335	4930526F13Rik	antisense
ENSMUSG00000021252	0610007P14Rik	protein_coding
ENSMUSG00000078312	Gm6344	pseudogene
ENSMUSG00000086506	Gm15911	antisense
ENSMUSG00000075079	Olfr1249	protein_coding
ENSMUSG00000030623	1700019G06Rik	protein_coding
ENSMUSG00000073085	4930428D18Rik	protein_coding
ENSMUSG00000024795	Kif20b	protein_coding
ENSMUSG00000069223	4930451E10Rik	antisense
ENSMUSG00000092071	A230065N10Rik	protein_coding
ENSMUSG00000079426	Arpc4	protein_coding
ENSMUSG00000022579	Gpihbp1	protein_coding
ENSMUSG00000030621	Me3	protein_coding
ENSMUSG00000075078	Olfr1250	protein_coding
ENSMUSG00000089875	Etohd2	lincRNA
ENSMUSG00000079525	4930468A15Rik	protein_coding
ENSMUSG00000025246	Tbl1x	protein_coding
ENSMUSG00000074868	Gm6478	pseudogene
ENSMUSG00000043556	Fbxl7	protein_coding
ENSMUSG00000047003	Zfp41	protein_coding
ENSMUSG00000025372	Baiap2	protein_coding
ENSMUSG00000032383	Ppib	protein_coding
ENSMUSG00000092062	Gm7664	pseudogene
ENSMUSG00000074863	Gm5665	lincRNA
ENSMUSG00000090544	Gm6576	protein_coding
ENSMUSG00000089854	Gm16133	antisense
ENSMUSG00000031590	Frg1	protein_coding
ENSMUSG00000032089	Il10ra	protein_coding
ENSMUSG00000020424	Gatsl3	protein_coding
ENSMUSG00000022265	Ank	protein_coding
ENSMUSG00000032952	Ap4b1	protein_coding
ENSMUSG00000090232	Gm16132	sense_intronic
ENSMUSG00000027831	Veph1	protein_coding
ENSMUSG00000089868	Gm16134	pseudogene
ENSMUSG00000039452	Snx22	protein_coding
ENSMUSG00000074839	Gm5792	pseudogene
ENSMUSG00000012609	Ttll5	protein_coding
ENSMUSG00000001768	Rin2	protein_coding
ENSMUSG00000047085	Lrrc4b	protein_coding
ENSMUSG00000040433	Zbtb38	protein_coding
ENSMUSG00000074841	Gm6917	pseudogene
ENSMUSG00000045140	Pigw	protein_coding
ENSMUSG00000055763	Gm6910	pseudogene
ENSMUSG00000071294	Gm5196	pseudogene
ENSMUSG00000055567	Unc80	protein_coding
ENSMUSG00000092103	Gm17039	lincRNA
ENSMUSG00000021018	Polr2h	protein_coding
ENSMUSG00000090723	Gm9625	pseudogene
ENSMUSG00000000934	Top1mt	protein_coding
ENSMUSG00000091133	Gm17108	processed_transcript
ENSMUSG00000093587	Gm20554	antisense
ENSMUSG00000058906	Zfp353	protein_coding
ENSMUSG00000053038	Gm6180	protein_coding
ENSMUSG00000031651	Triml1	protein_coding
ENSMUSG00000038704	Aspdh	protein_coding
ENSMUSG00000066407	Gm10263	pseudogene
ENSMUSG00000021566	5430425J12Rik	antisense
ENSMUSG00000058755	Osm	protein_coding
ENSMUSG00000032382	Snx1	protein_coding
ENSMUSG00000022847	Thpo	protein_coding
ENSMUSG00000091490	Triml2	protein_coding
ENSMUSG00000043259	Fam13c	protein_coding
ENSMUSG00000066714	Gm8062	pseudogene
ENSMUSG00000030276	Ttll3	protein_coding
ENSMUSG00000085881	Gm15912	antisense
ENSMUSG00000080966	Gm6263	pseudogene
ENSMUSG00000027832	Ptx3	protein_coding
ENSMUSG00000090004	Gm16125	pseudogene
ENSMUSG00000035725	Prkx	protein_coding
ENSMUSG00000090825	Gm2221	protein_coding
ENSMUSG00000086743	Hnrnpa1l2-ps	pseudogene
ENSMUSG00000051176	Zfp42	protein_coding
ENSMUSG00000093425	Shox2	protein_coding
ENSMUSG00000046034	Fam105b	protein_coding
ENSMUSG00000034394	Lif	protein_coding
ENSMUSG00000074800	Gm4149	pseudogene
ENSMUSG00000063900	Adam26b	protein_coding
ENSMUSG00000044165	Bcl2l15	protein_coding
ENSMUSG00000090884	Vmn2r102	protein_coding
ENSMUSG00000048516	Adam26a	protein_coding
ENSMUSG00000081816	Gm15528	pseudogene
ENSMUSG00000050190	Gm5346	protein_coding
ENSMUSG00000061833	Gm6311	pseudogene
ENSMUSG00000090027	Gm15740	pseudogene
ENSMUSG00000079058	Adam34	protein_coding
ENSMUSG00000038695	Josd2	protein_coding
ENSMUSG00000025876	Unc5a	protein_coding
ENSMUSG00000090119	Gm8185	pseudogene
ENSMUSG00000059602	Syn3	protein_coding
ENSMUSG00000056069	Fam105a	protein_coding
ENSMUSG00000006958	Chrd	protein_coding
ENSMUSG00000087143	A830082K12Rik	lincRNA
ENSMUSG00000070047	Fat1	protein_coding
ENSMUSG00000039798	2600006K01Rik	protein_coding
ENSMUSG00000027843	Ptpn22	protein_coding
ENSMUSG00000046719	Nxph3	protein_coding
ENSMUSG00000086982	Gm8327	lincRNA
ENSMUSG00000024798	Htr7	protein_coding
ENSMUSG00000020419	Hormad2	protein_coding
ENSMUSG00000089827	1700023H06Rik	lincRNA
ENSMUSG00000043889	Gm8399	pseudogene
ENSMUSG00000022580	Rhpn1	protein_coding
ENSMUSG00000039316	Rftn1	protein_coding
ENSMUSG00000042978	Sbk1	protein_coding
ENSMUSG00000027833	Shox2	protein_coding
ENSMUSG00000039787	Cercam	protein_coding
ENSMUSG00000066180	Gm10155	protein_coding
ENSMUSG00000050334	C130071C03Rik	lincRNA
ENSMUSG00000075077	Olfr1251	protein_coding
ENSMUSG00000030742	Lat	protein_coding
ENSMUSG00000075076	Olfr1252	protein_coding
ENSMUSG00000022263	Trio	protein_coding
ENSMUSG00000075075	Olfr1253	protein_coding
ENSMUSG00000075074	Olfr1254	protein_coding
ENSMUSG00000034544	Rsrc1	protein_coding
ENSMUSG00000091771	Vmn2r103	protein_coding
ENSMUSG00000045148	Olfr1255	protein_coding
ENSMUSG00000053436	Mapk14	protein_coding
ENSMUSG00000000003	Pbsn	protein_coding
ENSMUSG00000089972	Gm16318	pseudogene
ENSMUSG00000089940	Gm4117	lincRNA
ENSMUSG00000044098	Rsbn1	protein_coding
ENSMUSG00000034354	Mtmr3	protein_coding
ENSMUSG00000090315	Vmn2r104	protein_coding
ENSMUSG00000002728	Naa20	protein_coding
ENSMUSG00000075073	Olfr1256	protein_coding
ENSMUSG00000091419	Gm17450	pseudogene
ENSMUSG00000074782	4833422C13Rik	antisense
ENSMUSG00000039391	Ccdc81	protein_coding
ENSMUSG00000024800	Rpp30	protein_coding
ENSMUSG00000051169	Rpusd3	protein_coding
ENSMUSG00000008140	2310044H10Rik	protein_coding
ENSMUSG00000075072	Olfr48	protein_coding
ENSMUSG00000020844	Nxn	protein_coding
ENSMUSG00000030741	Spns1	protein_coding
ENSMUSG00000049057	Olfr1257	protein_coding
ENSMUSG00000079522	Gm14744	protein_coding
ENSMUSG00000037747	Phyhipl	protein_coding
ENSMUSG00000068492	Gm6557	protein_coding
ENSMUSG00000061393	Acvr2b	protein_coding
ENSMUSG00000005958	Ephb3	protein_coding
ENSMUSG00000054764	Mtnr1a	protein_coding
ENSMUSG00000049149	Olfr1258	protein_coding
ENSMUSG00000058388	Phtf1	protein_coding
ENSMUSG00000031645	F11	protein_coding
ENSMUSG00000068806	Olfr1259	protein_coding
ENSMUSG00000044121	5430402E10Rik	protein_coding
ENSMUSG00000000120	Ngfr	protein_coding
ENSMUSG00000042894	Olfr1260	protein_coding
ENSMUSG00000024803	Ankrd1	protein_coding
ENSMUSG00000047591	Mafa	protein_coding
ENSMUSG00000075600	Zc3h3	protein_coding
ENSMUSG00000024805	Pcgf5	protein_coding
ENSMUSG00000067684	Obp1a	protein_coding
ENSMUSG00000090408	Gm17402	protein_coding
ENSMUSG00000031640	Klkb1	protein_coding
ENSMUSG00000048416	Mlf1	protein_coding
ENSMUSG00000051113	Fam71e1	protein_coding
ENSMUSG00000061295	Olfr1261	protein_coding
ENSMUSG00000067103	AY702103	protein_coding
ENSMUSG00000025877	Hk3	protein_coding
ENSMUSG00000010592	Dazl	protein_coding
ENSMUSG00000090907	C030017D09Rik	antisense
ENSMUSG00000070428	Gm6109	pseudogene
ENSMUSG00000051313	Olfr1262	protein_coding
ENSMUSG00000071276	Fpr-rs7	protein_coding
ENSMUSG00000085834	Gm15622	antisense
ENSMUSG00000038670	Mybpc2	protein_coding
ENSMUSG00000087334	AW495222	antisense
ENSMUSG00000001767	Crnkl1	protein_coding
ENSMUSG00000030278	Cidec	protein_coding
ENSMUSG00000071275	Fpr-rs6	protein_coding
ENSMUSG00000022575	Gsdmd	protein_coding
ENSMUSG00000038845	Phb	protein_coding
ENSMUSG00000085202	Gm15620	pseudogene
ENSMUSG00000041180	Hectd2	protein_coding
ENSMUSG00000087319	Gm15907	lincRNA
ENSMUSG00000091670	Vmn2r105	protein_coding
ENSMUSG00000023781	Hes7	protein_coding
ENSMUSG00000090033	Gm16243	antisense
ENSMUSG00000027774	Gfm1	protein_coding
ENSMUSG00000079521	Gm5938	protein_coding
ENSMUSG00000090560	Gm17190	pseudogene
ENSMUSG00000054944	5330416C01Rik	lincRNA
ENSMUSG00000059112	Olfr1263	protein_coding
ENSMUSG00000022574	Naprt1	protein_coding
ENSMUSG00000037129	Tmprss13	protein_coding
ENSMUSG00000042787	Exog	protein_coding
ENSMUSG00000075069	Olfr1264	protein_coding
ENSMUSG00000048603	Gm9828	antisense
ENSMUSG00000026005	Rpe	protein_coding
ENSMUSG00000020892	Aloxe3	protein_coding
ENSMUSG00000079010	Gm11032	protein_coding
ENSMUSG00000051256	Jagn1	protein_coding
ENSMUSG00000025375	Aatk	protein_coding
ENSMUSG00000079057	Cyp4v3	protein_coding
ENSMUSG00000020412	Ascc2	protein_coding
ENSMUSG00000008193	Spib	protein_coding
ENSMUSG00000071222	Gm10320	pseudogene
ENSMUSG00000067679	Obp1b	protein_coding
ENSMUSG00000082956	Naip3	pseudogene
ENSMUSG00000023452	Pisd	protein_coding
ENSMUSG00000043088	Il17re	protein_coding
ENSMUSG00000022262	Dnahc5	protein_coding
ENSMUSG00000079519	Gm14743	protein_coding
ENSMUSG00000038910	Plcl2	protein_coding
ENSMUSG00000030722	Nfatc2ip	protein_coding
ENSMUSG00000038644	Pold1	protein_coding
ENSMUSG00000035651	4930480E11Rik	protein_coding
ENSMUSG00000044645	Gm7334	protein_coding
ENSMUSG00000047996	Prrg1	protein_coding
ENSMUSG00000091656	Vmn2r106	protein_coding
ENSMUSG00000047557	Lxn	protein_coding
ENSMUSG00000023923	Tbc1d5	protein_coding
ENSMUSG00000055762	Eef1d	protein_coding
ENSMUSG00000048790	E030011O05Rik	protein_coding
ENSMUSG00000020044	Timp3	protein_coding
ENSMUSG00000085340	Gm16335	pseudogene
ENSMUSG00000043587	Acpl2	protein_coding
ENSMUSG00000033653	Vps8	protein_coding
ENSMUSG00000091906	1700099I09Rik	antisense
ENSMUSG00000090329	Gm17160	antisense
ENSMUSG00000049404	Rarres1	protein_coding
ENSMUSG00000091577	Gm6211	pseudogene
ENSMUSG00000070044	Fam149a	protein_coding
ENSMUSG00000020527	Myo19	protein_coding
ENSMUSG00000030724	Cd19	protein_coding
ENSMUSG00000027775	Mfsd1	protein_coding
ENSMUSG00000052539	Magi3	protein_coding
ENSMUSG00000037143	4930529M08Rik	protein_coding
ENSMUSG00000066705	Fxyd6	protein_coding
ENSMUSG00000079517	Gm8787	protein_coding
ENSMUSG00000047692	4930533K18Rik	protein_coding
ENSMUSG00000051777	Iqcj	protein_coding
ENSMUSG00000073077	Gm7173	protein_coding
ENSMUSG00000067279	Ppp1r3c	protein_coding
ENSMUSG00000027777	Schip1	protein_coding
ENSMUSG00000014329	Bicc1	protein_coding
ENSMUSG00000026004	1110028C15Rik	protein_coding
ENSMUSG00000056910	Vmn2r107	protein_coding
ENSMUSG00000024811	Tnks2	protein_coding
ENSMUSG00000021253	Tgfb3	protein_coding
ENSMUSG00000046942	Mageb16	protein_coding
ENSMUSG00000084860	2610204G07Rik	antisense
ENSMUSG00000020843	Timm22	protein_coding
ENSMUSG00000071193	Gm4938	pseudogene
ENSMUSG00000090358	Gm2822	lincRNA
ENSMUSG00000062797	l7Rn6	protein_coding
ENSMUSG00000030281	Il17rc	protein_coding
ENSMUSG00000045083	Lingo2	protein_coding
ENSMUSG00000074662	Gm10737	pseudogene
ENSMUSG00000081277	Gm15285	pseudogene
ENSMUSG00000082258	Gm15289	pseudogene
ENSMUSG00000086201	Gm6270	lincRNA
ENSMUSG00000085634	Gm15290	lincRNA
ENSMUSG00000025666	Tmem47	protein_coding
ENSMUSG00000086870	Gm15288	antisense
ENSMUSG00000030727	Rabep2	protein_coding
ENSMUSG00000059534	Uqcr10	protein_coding
ENSMUSG00000068979	Gm5848	protein_coding
ENSMUSG00000007867	1700019E19Rik	protein_coding
ENSMUSG00000027776	Il12a	protein_coding
ENSMUSG00000059412	Fxyd2	protein_coding
ENSMUSG00000026790	Odf2	protein_coding
ENSMUSG00000030619	Eed	protein_coding
ENSMUSG00000026764	Kif5c	protein_coding
ENSMUSG00000031639	Tlr3	protein_coding
